Date,Location,ShortName,LongName,Census2019,Administered_Dose2,Series_Complete_18Plus,Series_Complete_Pop_Pct
2021-03-03,VT,VTA,Vermont,623989,60078,,
2021-03-03,WA,WAA,Washington,7614893,662168,,
2021-03-03,WI,WIA,Wisconsin,5822434,536537,,
2021-03-03,WV,WVA,West Virginia,1792147,213929,,
2021-03-03,WY,WYA,Wyoming,578759,57895,,
2021-03-03,US,USA,United States,331996199,26957804,,
2021-03-03,LTC,LTC,Long Term Care,,,,
2021-03-04,AK,AKA,Alaska,731545,104193,,
2021-03-04,AL,ALA,Alabama,4903185,357384,,
2021-03-04,AR,ARA,Arkansas,3017804,249244,,
2021-03-04,AS,ASA,American Samoa,55689,8208,,
2021-03-04,AZ,AZA,Arizona,7278717,640078,,
2021-03-04,BP2,BP2,Bureau of Prisons,0,25853,,
2021-03-04,CA,CAA,California,39512223,3047327,,
2021-03-04,CO,COA,Colorado,5758736,513187,,
2021-03-04,CT,CTA,Connecticut,3565287,313603,,
2021-03-04,DC,DCA,District of Columbia,705749,71591,,
2021-03-04,DD2,DD2,Dept of Defense,0,322651,,
2021-03-04,DE,DEA,Delaware,973764,87485,,
2021-03-04,FL,FLA,Florida,21477737,1886028,,
2021-03-04,FM,FMA,Federated States of Micronesia,103643,5658,,
2021-03-04,GA,GAA,Georgia,10617423,810091,,
2021-03-04,GU,GUA,Guam,165768,20686,,
2021-03-04,HI,HIA,Hawaii,1415872,153655,,
2021-03-04,IA,IAA,Iowa,3155070,202916,,
2021-03-04,ID,IDA,Idaho,1787065,143369,,
2021-03-04,IH2,IH2,Indian Health Svc,2082813,190131,,
2021-03-04,IL,ILA,Illinois,12671821,925816,,
2021-03-04,IN,INA,Indiana,6732219,626414,,
2021-03-04,KS,KSA,Kansas,2913314,216611,,
2021-03-04,KY,KYA,Kentucky,4467673,375152,,
2021-03-04,LA,LAA,Louisiana,4648794,407880,,
2021-03-04,MA,MAA,Massachusetts,6892503,583872,,
2021-03-04,MD,MDA,Maryland,6045680,532972,,
2021-03-04,ME,MEA,Maine,1344212,106465,,
